city,state,title,url
Fayetteville,North Carolina,Cape Fear Mineral & Gem Society,http://www.mercergarden.com/GemClub.html
Hickory,North Carolina,Catawba Valley Gem & Mineral Club,http://www.cvgmc.com/
Chapel Hill,North Carolina,Central North Carolina Mineral Club,http://www.centralncmineralclub.org/
Charlotte,North Carolina,Charlotte Gem & Mineral Club,http://www.charlottegem.com/
Winston-Salem,North Carolina,Forsyth Gem and Mineral Club,http://www.forsythgemclub.com/fgmcmain.html
Gastonia,North Carolina,"Gaston Gem, Mineral and Faceters Club",http://gastongemclub.weebly.com/
Franklin,North Carolina,Gem & Mineral Society of Franklin,http://www.fgmm.org/
Greensboro,North Carolina,Greensboro Gem & Mineral Club,http://www.ggmc-rockhounds.com/
Hendersonville,North Carolina,Henderson County Gem and Mineral Society,http://hcgms.com/index.html
Asheville,North Carolina,Mountain Area Gem and Mineral Association (MAGMA),http://www.wncrocks.com/magma/magma.html
Raleigh,North Carolina,North Carolina Fossil Club,http://www.ncfossilclub.org/
